target,length,readability,similarity
"The comedian stayed with Flavours who offer a Painting In Venice break .
Jenny and her partner Geof stayed at the farmhouse Villa Bianchi .
Days involved sitting in medieval market towns with a brush and prosecco .",38,7.9,0.46
"The federal government will give Shoshana Hebshi $40,000 as compensation for being ethnically profiled .
Hebshi, who has a Jewish mother and Saudi Arabian father, has said she was discriminated against based on her dark complexion .
Hebshi was detained along with two Indian men she was seated next to .
'People do not forfeit their constitutional rights when they step onto an airplane,' said ACLU attorney Rachel Goodman .",70,10.9,0.64
"Novak Djokovic beat Andy Murray 7-6 4-6 6-0 in  Miami Open 2015 final .
Djokovic lost his cool after losing the second set to the Brit in Florida .
World No 1 Djokovic shouted at his support team next to a scared ball boy .
After seeing the replay, the Serbian posted an apology video on Facebook .
CLICK HERE for all the latest news from the world of tennis .",71,6.1,0.78
"Most of those released were women and children .
Freed Yazidis sent to capital of Iraq's Kurdish region .",19,4.2,0.58
"Second modified, armored van spotted near Des Moines, Iowa alongside the one that Hillary Clinton travels in .
Visually identical black vehicles' biggest difference is the color of their New York license plates .
One is a Chevy and the other a GMC but they are mechanically identical and one was seen using Secret Service-fitted red and blue lights .
Van dubbed 'Scooby' in homage to the Scooby-Doo cartoon show brought Clinton to Iowa from her New York house .
'Scooby-Two' made its debut in Norwalk, Iowa on Wednesday outside a fruit processing plant where Clinton made a scripted appearance .",101,10.8,0.74
"Tim Swiel spent four months on loan at Harlequins earlier this season .
The 23-year-old featured in the European Champions Cup and LV= Cup .
The fly-half will return to the club on a full-time contract next season .",39,5.6,0.69
"The Project accidentally mistook one African-American comic for another .
They used footage of Jay Pharoah when promoting  Michael Che interview .
Viewers of Twitter were quick to point out the embarrassing mix-up .
Presenter Waleed Aly apologised for the mistake later in the program .
Ironically, Aly was the subject of a strikingly similar mix-up this year .",59,9.9,0.79
"Liverpool lost 2-1 to Aston Villa in the FA Cup semi-final at Wembley .
Steven Gerrard's dream of making the FA Cup final were shattered .
Gerrard started the game in an advanced role behind Raheem Sterling .
The first half largely passed Gerrard by at Wembley .
The Reds midfielder, however, almost snatched an equaliser at the death .",60,6.4,0.77
"Morrissey wrote a letter to Australian retailer The Just Group .
They own Just Jeans, Dotti, Portmans, Jay Jays, and Peter Alexander .
The group have so far refused to stop selling controversial angora wool .
Singer to ask audience at Sydney concert to sign petition against company .
Morrissey has also banned the sale of meat products at Opera House .
Myer, David Jones, Sportsgirl among those who've agreed to angora ban .",74,7.7,0.72
"Manny Pacquiao faces Floyd Mayweather in $300m showdown on May 2 .
Pac-Man has released own entrance song 'Lalaban Ako Para Sa Filipino'
The 36-year-old also directed the music video ahead of Las Vegas clash .",36,11.1,0.7
"Millie Marotta's book, Animal Kingdom, features detailed line illustrations .
The £3.99 book is currently #1 on Amazon's Top 100 Books list .
The 36-year-old illustrator resides and works in Tenby, Wales .",33,7.2,0.47
"French artist Thomas Lamadieu combines photography and illustration to create clever imagery .
He takes photographs of the sky in urban locations around the world .
The buildings in the photographs act as a frame for him to draw on abstract illustrations .",43,9.7,0.62
"David De Gea is yet to extend his contract beyond 2016 .
Real Madrid want the Spanish goalkeeper to replace Iker Casillas .
AS claim Real will wait for contract to run down if they can't sign him .
Carlo Ancelotti wants Petr Cech as a stop-gap if he has to wait until 2016 .",55,5.9,0.77
"Raheem Sterling has revealed he is not ready to sign a new Liverpool deal .
The Reds wideman has struggled to repeat last season's impressive form .
The 20-year-old Liverpool star has managed just six goals this  season .
READ: Sterling insists he is not a 'money-grabbing 20-year-old'
Sterling: What he said about contract talks... and what he meant .
CLICK HERE for the latest Liverpool news .",68,5.0,0.83
"Bon Apetit have revealed the best way to revive a stale loaf of bread .
They say the trick is to run the bread under a tap and put it in the oven .
The result is a loaf that is soft on the inside and crusty on the outside .
Lifesum nutritionist Luvisa Nilsson says the trick is safe .
However, you must make sure the loaf is not mouldy before going ahead .",75,5.2,0.81
"Author of 'Why women hate me for being beautiful' article speaks out .
The 44-year-old is 'utterly peeved' by the 'exploitative' Dove campaign .
Samantha claims women's need for modesty is down to self-protection .",35,8.6,0.5
"Ted Loveday led Gonville and Caius College, Cambridge to the University Challenge title this week .
He became a web sensation after answering 10 different starter questions .
But the law student admits he revised by using YouTube and Wikipedia .",41,9.4,0.54
"Cheryl Prudham, 33, from Kent, planning to renew vows with husband Rob .
Pair splashing out on hotel, gown, limousine and casino gambling money .
Even wants to try for 13th child there so she can boast it is conceived in LA .
Comes just weeks after pair reunited following split over Mr Prudham's indecent Facebook messages .",58,8.6,0.58
"Mauricio Pochettino believes Harry Kane still has so much more to give .
Kane scored against Newcastle to take his season tally to the 30-mark .
He becomes first Tottenham player since Gary Lineker to reach that tally .
Pochettino is convinced 21-year-old England hitman can improve further .",49,7.7,0.66
"Video shows ESPN reporter Britt McHenry berating and belittling a tow company worker .
Drexler: She was wrong to act that way, but aren't we too quick to judge without seeing full video?",33,10.7,0.59
"The unidentified man was photographed in the distasteful clothing item by a Twitter user .
Dozens of people responded to express their disgust at the T-shirt .",27,9.3,0.58
"Clip shows mysterious black cloud hanging over the village of Shortandy .
The perfect hoop shape sat in the air not moving for more than 15 minutes .
Eerie video has been viewed tens of thousands of times on Youtube .
While some viewers are suggesting the cloud was an alien spacecraft, experts think it could have been caused by nearby factories .",63,6.7,0.73
"McCoy laid into his former coach, saying he doesn't respect star talent .
After a day with his new franchise, he said they have more of an NFL feel than the Eagles, who drafted him in the second round of the 2009 draft .
'I don’t think he likes or respects the stars. I’m being honest,' said the 26-year-old running back .",62,5.5,0.66
"Dax Internet Addiction Treatment Centre in Beijing has welcomed 6,000 patients since it opened its doors in 2006 .
The military-style bootcamp claims to have cured 75 per cent of their addiction to electronic gadgets .
Internet addiction or wangyin is said to affect 24 million of the China's 632 million web users .",54,8.7,0.7
"Shelley Dufresne was arrested in September when a student at the high school she taught at started bragging about sleeping with two teachers .
It was later revealed that the 16-year-old had sex with both Dufresne and his former English teacher, 24-year-old Rachel Respess .
Dufresne, 32, pleaded not guilty to charges in November, but changed course on Thursday when she admitted having sex with the teen .
In a forgiving plea deal, Dufresne will only have to attend a 90-day therapy program, stay away from the victim and turn in her teacher's license .
In exchange, the charge of carnal knowledge of a child will be dropped after her probation and she won't have to register as a sex offender .
However, Dufresne is still awaiting an arraignment on charges for having a threesome with the same student and Respess in a different parish .",146,11.2,0.81
"Professor John Warren discovered avocado trees switch gender in hours .
The botanist said the tree displays 'unique flowering behaviour'
However, trees are usually successful in avoiding polinating themselves .",30,14.7,0.71
"Josh Meekings handball should have been a penalty and a red card .
If the penalty was awarded and converted Celtic would have gone to 2-0 .
Caley manager John Hughes admitted his side were fortunate in win .
Virgil van Dijk scored Celtic's opener with a superb free-kick .
Celtic keeper Craig Gordon was sent off early in the second half .
Greg Tansey, Edward Ofere and finally Daven Raven scored for Caley .",75,6.6,0.63
"Captain Lee McCulloch was booed by Rangers supporters last weekend .
McCulloch made an error that led to Raith Rovers hitting the back of the net .
Rangers play league leaders Hearts in the Scottish Championship Saturday .",38,7.9,0.61
"Two Australian drug smugglers, part of the Bali Nine, await word whether they'll face a firing squad .
Less is known about the seven other members of the group .",30,6.4,0.43
"Students who shared an iPad scored around 30 points higher on the test .
Courtney Blackwell worked with 352 students in America for the research .",26,6.8,0.56
"Sabrina Schaeffer: Tuesday is Equal Pay Day, a fictitious holiday marked by progressive women .
She says the wage gap between men and women is grossly overstated .",28,9.5,0.61
"Kevin Franklin left his 80-year-old victim without any money to buy milk .
Meanwhile fraudster funded dream Alps wedding with eight-years of thefts .
Franklin said he needed money for failing business and after family deaths .
When he was arrested the fraudster had told police: 'I played him'
Jailed for nearly five years despite Franklin saying he's 'terrified' of prison .",62,7.8,0.74
"German car manufacturer used renewable energy to convert carbon dioxide and water into 'blue crude' oil which was then refined into diesel .
The carbon dioxide can be removed from the air or from power plants .
Audi claims its e-diesel is carbon neutral without adding to climate change .
Tests suggest it allows cars to run quieter and produce fewer pollutants .",63,9.1,0.66
"Amy Wilkinson, 28, falsely claimed housing benefit and Council Tax benefit .
Court gives her suspended sentence and orders her to pay back £18,000 .
Her grandfather Tommy Docherty managed Man United from 1972 to 1977 .",37,7.7,0.73
"Floyd Mayweather is widely considered the best boxer in the world .
But he believes he is better than heavyweight legend Muhammad Ali .
Mayweather did admit that he respects both Ali and Sugar Ray Robinson .
He takes on Manny Pacquiao on May 2 in their $300m mega-fight .
Mayweather-Pacquiao weigh-in will be first ever with paid-for tickets .",60,7.6,0.82
"In Terminal 3, cushioned running paths direct passengers to their gates .
The money-saving trick cuts down on the cost of walkways and signage .
Catering to low-cost carriers, the new terminal first opened on April 8 .",38,7.9,0.56
"Rangers are currently second in the Scottish Championship .
Stuart McCall's side are in pole position to go up via the play-offs .
But McCall is still not certain of his future at the club next season .
Rangers boss says he is still trying to build the squad for next year .
Rangers have begun to expand their scouting after several poor years .",65,5.6,0.7
"Out of 17 bingo halls tested, seven revealed traces of cocaine in toilets .
One, in Bristol, even tested positive for dangerous variant crack cocaine .
Figures show spike in OAPs receiving hospital treatment for drug abuse .",38,9.0,0.67
"Former premier made unannounced visit to capital Ulaanbataar last month .
Met new Mongolian prime minister Chimed Saikhanbileg on trip, sparking fears from ecologists he was encouraging Western investment in mining .
Noyon Uul region has major gold reserves but many sacred burial mounds .
Exploitation may 'destroy monuments of the Mongols and their ancestors'
Mr Blair admits to 'regular' Mongolia visits but denies discussing mining .",67,13.0,0.72
"Three attackers charged over vicious beating that was caught on camera .
Tibor Racsits, 42, and daughter Kiara, 13, were attacked on Sunday night .
He'd gone to pick her up from the movies in Newcastle, north of Sydney .
Footage shows group of boys kicking Mr Racsits in the stomach and head .
Kiara ran to help her father but was slammed face-first into the concrete .",68,5.8,0.67
"This is Emma Louise Connolly's second campaign for Ann Summers .
The erotic bridal range is priced between £14 and £85 .
It features cut-out bras and a peek-a-boo thong .",31,5.7,0.61
"Chef Sam Longhurst of Splendid Kitchen Manchester created the burger .
The 10-inch tall Whole Damn Farm burger weighs half a kilogram .
Two beef burgers, chicken thigh, pulled pork, bacon, ham and bacon jam .",36,6.4,0.73
"Owner of white Havana cob Cody said her horse looked like Black Beauty .
Tracey Hannant believes the animal wanted to go for a dip to cool down .
It took 18 firefighters to free the horse following its six-hour ordeal .
No one could believe it when Cody turned out to be white after hose down .",58,6.2,0.66
"Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes .
Caught after going to police, claiming she was forced out her victim's flat .
She has admitted bedding and robbing 15 men after spiking their drinks .",39,6.8,0.64
"Adriana Alvarez, 22, makes $10.50 an hour and must rely on food stamps, Medicaid and a child care subsidy to get by with her three-year-old son .
She said water seeps into her apartment when it rains and she loses a day of wages when her son is ill because she doesn't get sick days .
Alvarez is a leader with Fight for $15, an international movement to raise minimum wage laws and acquire the right to unionize .
Half of the nation's fast food workers require some kind of government assistance, according to a recent study .",98,9.4,0.74
"White Sox Hall of Famer tweets the closed-door game also should be postponed .
Baltimore unrest leads to postponement of two baseball games .
Third game in series will be first ever played without spectators .",36,6.4,0.67
"Strike is set to begin at 5am tomorrow and continue for two days .
Up to half of all flights to and from France will be cancelled this week .
BA and easyJet have warned passengers to expect severe delays .",41,4.7,0.68
"Dutch and Canadian study looked at 100 men and women .
Meals made the person they were with 'warmer' and 'more 'likeable'
Chewing raises the levels of 'feel-good' chemical serotonin .",31,10.1,0.47
"Tehsin Nayani spent six years as spokesman for the Glazer family .
His new book, The Glazer Gatekeeper, tells all about his time in the job .
Nayani insists that the Glazer takeover was always a long-term project .
Sir Alex Ferguson used to invite the owners into the home dressing room .
Nayani believes the Red Knights consortium were never serious suitors .
The Glazers are not 'ogres' despite fan opinion, according to Nayani .",76,6.7,0.67
"John Barnes appeared as a guest on Sky's A League Of Their Own show .
The 51-year-old rapped 1979 classic Rapper's Delight as part of a sketch .
Barnes' ex-Liverpool team-mate Jamie Redknapp joins in halfway through .
Barnes featured on Anfield Rap and World in Motion in the past .",51,4.4,0.74
